Name,Description
School of Fine Art,social services urban rural odisha adolescents adults artisans artists construction workers dalits disaster affected displaced persons elderly ethnic groups girl child legal workers lesbian gays bisexuals transgender mentally challenged ngos refugees rickshawallahs drivers rural poor scavengers human slum dwellers street children students tribals urban poor weavers women youth
SELF EMPLOYED WOMEN'S ASSOCIATION SEWA LUCKNOW,social services urban rural uttar pradesh artisans artists children women youth
Serve Happiness Foundation,philanthropic intermediaries and voluntarism promotion urban rural all india adolescents adults artisans farmers farm labourers mentally challenged ngos rural poor students teachers urban poor volunteers women youth
SEVA DHARTI WELFARE SOCIETY,social services urban rural delhi adults
Shaheed Education Centre Samiti,education and research urban rural uttar pradesh children students youth
Shakuntala Devi Shikshan Seva Sansthan,social services urban rural uttar pradesh adults children women youth
Sharda Jan Sewa Sansthan,social services urban rural uttar pradesh children women youth
SHARON WELFARE SOCIETY,social services urban rural all india adults
Shivam Gramodyog Evam Samaj Sewa Sansthan,social services urban rural uttar pradesh adults women youth
SHRAMIKA MAHILA MANDAL,social services urban rural maharashtra adults children girl child women youth
Shree Bechu Baba Gramin Seva Sansthan,social services urban rural uttar pradesh adults women youth
Shree Divy Sai Education and Charitable Trust,social services urban rural gujarat adults beggars blood donors children chronically ill dalits disaster affected displaced persons farmers farm labourers girl child healthcare workers patients physically challenged plants rural poor street children students tribals urban poor volunteers women youth
Shri Ganesh Bahuuddeshiy Sevabhavi Sanstha,social services urban rural maharashtra adults children women youth
Shri Sant Bhagwanbaba Gramin Bahuddeshiya Sanstha,social services urban rural maharashtra adults children women youth
Shri Shiksha Prasar Evam Jan Kalyan Samiti,social services urban rural madhya pradesh adults children women youth
Shri Shivai Shaikshanik Samajik Aani Sanskrutik Vikas Sanstha Dhule,social services urban rural maharashtra adults women youth
SHUBH DRISHTI,social services urban rural jharkhand adults
SKY FOUNDATION,social services rural tamil nadu children displaced persons girl child mentally challenged physically challenged rural poor women youth
Society for Conscious Over All Progress (SCOAP),social services urban rural maharashtra adults women youth
Society for Human Rights and Social Development -SOCHURSOD,social services urban rural all india adults
SOCIETY FOR MANKIND INFRASTRUCTURE & LOVABLE ENVIRONMENT (S.M.I.L.E),social services urban rural odisha adults
SOCIETY FOR WOMEN EMPOWERMENT THROUGH DEVELOPMENTAL ACTION (SWETDA),social services rural odisha adults
Sree Lakshmi Jabbi Reddy Charitable Trust,health urban rural andhra pradesh adolescents adults children chronically ill dalits displaced persons elderly healthcare workers medical practioners mentally challenged ngos patients physically challenged rural poor urban poor volunteers women youth
SREEBORA VIVEKANANDA SANGHA,social services urban rural west bengal adults children girl child women youth
SRI SATYASAI INSTITUTION FOR TECHNICAL ADVANCEMENT (S.SITA),social services urban rural all india beggars children disaster affected domestic workers farmers farm labourers orphans rickshawallahs drivers rural poor
SRI.M. RAJAGOPALAN CHITRA EDUCATIONAL SOCIAL AND DIVINEï¿½TRUST,education and research rural tamil nadu adolescents adults children dalits disaster affected farmers farm labourers homeless legal workers ngos orphans rural poor students volunteers women youth
Suman Sewa Sansthan,social services urban rural uttar pradesh adults animal lovers animals birds artisans artists beggars blood donors children disaster affected domestic workers farmers farm labourers healthcare workers homeless ngos orphans physically challenged plants street children students urban poor volunteers weavers women youth
SUNANDA FOUNDATION,health urban rural maharashtra adolescents adults animals birds artisans artists blood donors children chronically ill construction workers dalits domestic workers elderly factory workers farmers farm labourers girl child healthcare workers hiv homeless medical practioners mentally challenged migrants ngos patients physically challenged plants policemen rickshawallahs drivers rural poor scavengers human slum dwellers students teachers tribals truckers urban poor weavers women youth
SUYASH,social services urban rural uttar pradesh adults women youth
Swabhiman Samiti,social services urban rural uttar pradesh adolescents disaster affected farmers farm labourers rural poor women youth
SWAMI VIVEKANAND SARVAJANIK WACHANALAYA,social services urban rural maharashtra adults children women youth
THE CITIZEN'S ASSOCIATION FOR RURAL DEVELOPMENT,social services rural odisha adults students women youth
The Innocent Club Society,social services rural rajasthan adults animal lovers children dalits domestic workers farmers farm labourers ngos rural poor students urban poor volunteers women youth
"THE SAMARITANS, BOMBAY",social services urban rural maharashtra adults women youth
Trilochanpur Association For Development In Social Welfare,social services urban rural all india adults
TRIUMPH FOUNDATION,health urban rural maharashtra patients physically challenged
Trust for Hope,health rural tamil nadu adolescents adults dalits disaster affected farmers farm labourers girl child healthcare workers hiv homeless mentally challenged teachers women youth
Umang Bahuuddeshiya Sevabhavi Sanstha,social services urban rural maharashtra adults
Uttam Sewa Sansthan,social services urban rural uttar pradesh adults women youth
Vaishali Gramin Vikas Sevabhavi Sanstha Bori,social services urban rural maharashtra adults
VANVASI UTKARSH SAMITI,social services urban rural maharashtra tribals
Vasantrao Acharekar Sanskrutik Pratishthan,culture and recreation rural all india adults artists children students youth
VICHARTA SAMUDAY SAMARTHAN MANCH,social services urban rural gujarat adolescents adults artisans artists beggars children chronically ill commercial sex workers disaster affected displaced persons elderly ethnic groups farmers farm labourers hiv homeless juvenile migrants orphans rural poor street children urban poor weavers women youth
Vikas Bahuuddeshiya Sanstha,social services urban rural maharashtra adults
VISVESVARAYA FOUNDATION,social services urban rural rajasthan adults
Vivekananda International Foundation,law advocacy and politics urban rural delhi armed forces disaster affected ethnic groups ngos rural poor students tribals urban poor volunteers women youth
White Wings,social services urban rural tamil nadu adults women youth
YASH EDUCATION SOCIETY,social services urban rural maharashtra adults children women youth
"Yoddhas, Indians Fighting Against Cancer",health urban rural delhi patients
YUGANTAR SANSTHAN,social services urban rural rajasthan adults
ZILA YUVA VIKAS SANGHTHAN,social services urban rural haryana youth
36 NO MONDALER LAT TRIMUKHI STAR SOCIETY,social services urban rural west bengal healthcare workers hiv medical practioners rural poor
Aadarsh Vikalp Belha (Madhya),social services urban rural bihar adults
AASHA,social services urban rural odisha adults
AASHARA BAHUUDDESHIYA TRUST,social services urban rural maharashtra accident victims adolescents adults animal lovers animals birds artisans artists beggars blood donors children chronically ill construction workers dalits disaster affected displaced persons elderly factory workers farmers farm labourers firemen girl child healthcare workers hiv homeless medical practioners ngos orphans patients plants prisoners rickshawallahs drivers rural poor slum dwellers sportspersons street children students teachers tribals urban poor volunteers women youth
AAYAT EDUCATION AND SOCIAL WELFARE SOCIETY,social services urban rural maharashtra adults
Abhigyan Disha,social services urban rural bihar adults
Adarsha,social services urban rural odisha adults
Aim Of Our Regional Development (ROAD),social services urban rural odisha adults
AKENAM BHARAT,social services urban rural bihar adults
